id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved
145821971,Леска для триммера квадрат 3 мм 100 м, Артикул 145821971 Длина (м) 15 м Вес с упаковкой (кг) 0.7 кг Длина упаковки 17 см Высота упаковки 8 см Ширина упаковки 17 см,res/img/145821971.png,PNG,RGBA,"(246, 328)",98.59,1711020045.451471
166091882,Триммер для травы аккумуляторный садовый ручной мощный, Артикул 166091882 Емкость аккумулятора 1500мАч Количество аккумуляторов в комплекте 2 Мощность устройства 500W Частота вращения шпинделя (об/мин) 18000 об/мин Напряжение аккумулятора (Вольт) 21V Страна производства Китай,res/img/166091882.png,PNG,RGBA,"(246, 328)",136.77,1711020054.261868
208929943,Катушка для триммера садового леска, Артикул 208929943 Материал изделия алюминий; пластик Совместимость бензиновый триммер; электрический триммер Комплектация катушка для триммера; леска для триммера; насадки для триммера; катушка для триммера универсальная; головка для триммера; шпулька для триммера; насадка триммеры бензиновый Страна производства Китай Высота предмета 6 см Ширина предмета 9 см,res/img/208929943.png,PNG,RGBA,"(246, 328)",150.16,1711020062.694834
156114215,"Набор аккумуляторного инструмента ZITREK 2 в 1, 2х2.0Ач"," Артикул 156114215 Модель 20,GreenSaw 20 Extra Power set 2 in 1 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мАч",res/img/156114215.png,PNG,RGBA,"(246, 328)",52.72,1711020071.980748
210307736,Насадка на триммер бензиновый электрический, Артикул 210307736 Материал изделия сталь; пластик Комплектация насадка для триммера; насадка триммеры; диск для триммера; катушка для триммера Страна производства Китай Высота предмета 3 см Ширина предмета 14 см Вес с упаковкой (кг) 1 кг,res/img/210307736.png,PNG,RGBA,"(246, 328)",125.57,1711020081.189949
151723698,Катушка для триммера Y-A002, Артикул 151723698 Материал изделия пластик; металл Совместимость Триммер бензиновый; триммер для травы; триммер садовый бензиновый; Газонокосилка; бензиновый триммер; бензотриммер; катушка триммерная; триммер электрический садовый; электротриммер для травы; дача и сад Комплектация катушка; кассета для триммера; головка триммерная; Катушка триммерная; катушка триммерная автомат Страна производства Китай Высота предмета 7 см Ширина предмета 13 см,res/img/151723698.png,PNG,RGBA,"(246, 328)",177.57,1711020090.6027389
83254734,Леска для катушки триммера 2.4 мм звезда, Артикул 83254734 Материал изделия Нейлон 100% Длина (м) 15 м Сечение корда круг; звезда Толщина нити 2.4 мм Комплектация Лески для триммера 2 шт.; Леска для триммера 1 шт Страна производства Китай,res/img/83254734.png,PNG,RGBA,"(246, 328)",134.39,1711020105.889042
39727485,Триммер садовый аккумуляторный 2 в 1 DEKO DKTR40 063-4230, Артикул 39727485 Модель DKTR40 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч,res/img/39727485.png,PNG,RGBA,"(246, 328)",25.53,1711020113.922667
76566433,"Прочная леска для триммера квадрат 2,4мм", Артикул 76566433 Материал изделия нейлон Сечение корда квадрат Толщина нити 2.4 мм Комплектация Леска для триммера - 1шт Страна производства Китай Вес с упаковкой (кг) 0.05 кг,res/img/76566433.png,PNG,RGBA,"(246, 328)",156.85,1711020122.662015
158256245,"Леска для триммера 2,4мм 15м звезда"," Артикул 158256245 Материал изделия нейлоновая; Нейлон 100% Длина (м) 15 м Сечение корда звезда; круг Толщина нити 2.4 мм Комплектация Леска для триммера 2,4мм 15м - 1шт; упаковка Страна производства Китай",res/img/158256245.png,PNG,RGBA,"(246, 328)",100.94,1711020131.679616
153270175,"Прочная армированная леска для триммера от 2,4 до 4 мм", Артикул 153270175 Материал изделия износостойкий нейлон Сечение корда звезда; витой квадрат; квадрат Толщина нити 3 мм Комплектация Леска для триммера - 1шт Страна производства Китай Вес с упаковкой (кг) 0.05 кг,res/img/153270175.png,PNG,RGBA,"(246, 328)",177.55,1711020140.036563
70243028,Ремень наплечный для триммера. Профессиональный ранцевый., Артикул 70243028 Материал изделия нейлон; ткань Совместимость триммер; бензотриммер; бензокосы Комплектация Ремень для триммера Страна производства Китай Вес с упаковкой (кг) 0.4 кг Длина упаковки 25 см,res/img/70243028.png,PNG,RGBA,"(246, 328)",124.24,1711020147.84851
74250607,Садовый триммер для травы аккумуляторный, Артикул 74250607 Модель ручной; беспроводной Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч,res/img/74250607.png,PNG,RGBA,"(246, 328)",159.95,1711020155.688021
95907911,"Катушка для триммера, головка с леской Huter GTH ""Easy Load"""," Артикул 95907911 Материал изделия Высококачественный ударопрочный пластик Совместимость GGT, GET-1200,GET-1500, GET-1700 Комплектация Катушка с леской 1 шт Страна производства Китай Высота предмета 14 см Ширина предмета 14 см",res/img/95907911.png,PNG,RGBA,"(246, 328)",103.35,1711020164.402833
158774341,Нож стальной для триммера садового. Набор 2 шт., Артикул 158774341 Количество предметов в упаковке 2 шт. Материал изделия нержавеющая сталь Посадочный диаметр 5 мм Внешний диаметр предмета 15 см Комплектация 2 ножа Вес с упаковкой (кг) 0.08 кг,res/img/158774341.png,PNG,RGBA,"(246, 328)",85.11,1711020173.221227
162724263,Садовый триммер для травы аккумуляторный, Артикул 162724263 Модель ручной; беспроводной Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч,res/img/162724263.png,PNG,RGBA,"(246, 328)",132.07,1711020181.8619678
171106503,"Нож для мотокосы BB0013 Standart 255 x 25,4 x 3T, Multi", Артикул 171106503 Количество предметов в упаковке 1 шт. Материал изделия сталь Посадочный диаметр 25.4 мм Внешний диаметр предмета 25.5 см Комплектация нож; упаковка-блистер Страна производства Китай,res/img/171106503.png,PNG,RGBA,"(246, 328)",80.87,1711020191.507212
83965255,"Леска Квадрат, 2,4мм.х158м. на бобине 0,9 кг.", Артикул 83965255 Толщина нити 2.4 мм Комплектация леска для триммера - 1 шт Страна производства Китай Вес с упаковкой (кг) 1.15 кг,res/img/83965255.png,PNG,RGBA,"(246, 328)",100.83,1711020200.236801
210928422,"Леска звездочка для триммера 2,4 мм*15 м", Артикул 210928422 Материал изделия полимер Длина (м) 15 м Сечение корда звезда Толщина нити 2.4 мм Страна производства США Вес с упаковкой (кг) 0.15 кг,res/img/210928422.png,PNG,RGBA,"(246, 328)",57.6,1711020208.6195571
209801389,Триммер аккумуляторный для травы садовый, Артикул 209801389 Модель TM600-Li2; электрическая; мощный Гарантийный срок 5 лет Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч,res/img/209801389.png,PNG,RGBA,"(246, 328)",123.39,1711020217.334518
88145485,Диск для триммера насадка на триммер, Артикул 88145485 Материал изделия сталь; пластик Комплектация Насадка триммерная - 2 шт Страна производства Китай Высота предмета 2 см Ширина предмета 13 см Вес с упаковкой (кг) 0.4 кг,res/img/88145485.png,PNG,RGBA,"(246, 328)",121.97,1711020225.786299
110277654,Головка для триммера катушка на триммер, Артикул 110277654 Материал изделия алюминий; пластик Комплектация Ключ - 1шт.; Катушка - 1 шт.; переходник - 2шт.; Леска (4 мм) - 1 шт. Страна производства Китай Высота предмета 8 см Ширина предмета 9 см Вес с упаковкой (кг) 0.3 кг,res/img/110277654.png,PNG,RGBA,"(246, 328)",127.33,1711020235.89051
76572141,"Прочная армированная леска для триммера от 2,4 до 4 мм", Артикул 76572141 Материал изделия износостойкий нейлон Сечение корда звезда; витой квадрат; квадрат Толщина нити 3 мм Комплектация Леска для триммера - 1шт Страна производства Китай Вес с упаковкой (кг) 0.05 кг,res/img/76572141.png,PNG,RGBA,"(246, 328)",177.42,1711020249.001769
154463370,Диск для триммера насадка культиватор на триммер, Артикул 154463370 Материал изделия сталь; пластик Совместимость Универсальная посадка Страна производства Китай Вес с упаковкой (кг) 0.4 кг Длина упаковки 25 см Высота упаковки 13 см,res/img/154463370.png,PNG,RGBA,"(246, 328)",135.93,1711020257.056445
148516227,"Леска для триммера 2,7 мм, длина 15 м", Артикул 148516227 Страна производства Китай Вес с упаковкой (кг) 0.06 кг Длина упаковки 10 см Высота упаковки 3 см Ширина упаковки 10 см,res/img/148516227.png,PNG,RGBA,"(246, 328)",80.84,1711020265.80615
147019572,"Леска для триммера 2,7 мм, длина 15 м, синий", Артикул 147019572 Длина (м) 15 м Комплектация Леска для триммера 15 м Страна производства Китай Вес с упаковкой (кг) 0.06 кг Длина упаковки 10 см Высота упаковки 3 см,res/img/147019572.png,PNG,RGBA,"(246, 328)",80.71,1711020274.068085
148686467,"Леска для триммера крученая с нитью, 2,4 мм, длина 15 м", Артикул 148686467 Страна производства Китай Вес с упаковкой (кг) 0.05 кг Длина упаковки 9 см Высота упаковки 3 см Ширина упаковки 9 см,res/img/148686467.png,PNG,RGBA,"(246, 328)",77.82,1711020281.861483
153619857,Триммер садовый аккумуляторный GreenCut 20 2x1.5Ач 082-2003, Артикул 153619857 Модель GreenCut 20 Гарантийный срок 1 год Тип аккумулятора Li-lon Емкость аккумулятора 1500 мА*ч,res/img/153619857.png,PNG,RGBA,"(246, 328)",44.13,1711020290.341737
151532281,"Триммер садовый электрический DEKO DKTR500,складной 065-1210", Артикул 151532281 Модель DKTR500 Гарантийный срок 1 год Питание от сети Мощность устройства 500Вт,res/img/151532281.png,PNG,RGBA,"(246, 328)",159.83,1711020298.882617
30087964,Триммер садовый бензиновый с разборной штангой GGT-1300S, Артикул 30087964 Модель HUTER GGT-1300S Мощность устройства 1300 Вт Мощность (лс) 1.8 лс Тип режущего инструмента леска/нож,res/img/30087964.png,PNG,RGBA,"(246, 328)",150.85,1711020308.677419
8144804,"Триммер электрический Арт. 21217 Basic, 500 Вт, 30 см", Артикул 8144804 Модель GST5033 Гарантийный срок 3 Года (36 месяцев) Питание 220 - 230 В/ 50Гц Мощность устройства 500 Вт,res/img/8144804.png,PNG,RGBA,"(246, 328)",17.26,1711020317.5332239
208763242,Триммер для травы садовый кусторез аккумуляторный," Артикул 208763242 Гарантийный срок 1 год Тип аккумулятора Аккумулятор (LI-lon); Литиевый Емкость аккумулятора 1500 мАч Время работы от аккумулятора 40 мин Питание USB; от аккумулятора; без питания Мощность устройства 7,2 В",res/img/208763242.png,PNG,RGBA,"(246, 328)",115.52,1711020326.231248
161310101,"Леска для триммера 2,7 мм, длина 15 м", Артикул 161310101 Страна производства Китай Вес с упаковкой (кг) 0.06 кг Длина упаковки 10 см Высота упаковки 3 см Ширина упаковки 10 см,res/img/161310101.png,PNG,RGBA,"(246, 328)",79.58,1711020335.3631418
137697202,Леска для триммера спираль 15 метров садовая для косилки, Артикул 137697202 Материал изделия нейлон Длина (м) 15 м Сечение корда спираль Толщина нити 3.5 мм Комплектация леска Страна производства Китай,res/img/137697202.png,PNG,RGBA,"(246, 328)",19.99,1711020343.809633
161389798,"Леска для триммера 2,7 мм, длина 15 м, синий", Артикул 161389798 Длина (м) 15 м Комплектация Леска для триммера 15 м Страна производства Китай Вес с упаковкой (кг) 0.06 кг Длина упаковки 10 см Высота упаковки 3 см,res/img/161389798.png,PNG,RGBA,"(246, 328)",79.92,1711020352.2938812
33703287,"Триммер садовый аккумуляторный DEKO DKTR21, 2*2.0Ач, 350 Вт", Артикул 33703287 Модель DKTR21 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч,res/img/33703287.png,PNG,RGBA,"(246, 328)",130.41,1711020360.5391061
212672157,Насадка триммерная садовая, Артикул 212672157 Материал изделия пластик Совместимость универсальная Страна производства Китай Высота предмета 6 см Ширина предмета 11 см Вес с упаковкой (кг) 0.26 кг,res/img/212672157.png,PNG,RGBA,"(246, 328)",144.38,1711020369.140469
165699185,Леска двухкомпонентная для триммера круглая 2.4 мм," Артикул 165699185 Материал изделия полиамид Длина (м) 15 м Сечение корда круг Толщина нити 2.4 мм Комплектация Блистер ""Леска двухкомпонентная для триммера 2.4 мм"" 1 шт. Страна производства Китай",res/img/165699185.png,PNG,RGBA,"(246, 328)",66.32,1711020378.5027132
210451247,"Нож диск для триммера садового 20х230х25,4", Артикул 210451247 Количество предметов в упаковке 1 шт. Материал изделия углеродистая сталь Посадочный диаметр 25.4 мм Внешний диаметр предмета 23 см Комплектация Диск - 1 шт Страна производства Китай,res/img/210451247.png,PNG,RGBA,"(246, 328)",115.31,1711020386.745517
213109941,Леска для триммера звезда с усилением 3.0 мм, Артикул 213109941 Материал изделия износостойкий нейлон Сечение корда звезда; звезда с усилением Толщина нити 3 мм Комплектация Леска для триммера - 1шт Страна производства Китай Вес с упаковкой (кг) 0.05 кг,res/img/213109941.png,PNG,RGBA,"(246, 328)",169.53,1711020395.2379289
110071755,Катушка для триммера с цепью бензопилы, Артикул 110071755 Материал изделия металл; цепь; леска Совместимость Электротриммер; бензотриммер; газонокосилка Комплектация катушка для триммера с цепью - 1 шт Страна производства Китай Высота предмета 10 см Ширина предмета 8 см,res/img/110071755.png,PNG,RGBA,"(246, 328)",94.29,1711020403.734747
162645823,Леска для триммера, Артикул 162645823 Материал изделия Нейлон (полиамид); Графитовый; Стержень Длина (м) 15 м Сечение корда квадрат; с сердечником; усиленная Толщина нити 3 мм Комплектация леска для триммера; 15м; высокопрочная; усиленная Страна производства Китай,res/img/162645823.png,PNG,RGBA,"(246, 328)",128.57,1711020411.428007
38124991,Бензиновый триммер GGT-2900T PRO, Артикул 38124991 Модель GGT-2900T PRO Гарантийный срок 12 мес Питание Бензиновый Мощность устройства 2900,res/img/38124991.png,PNG,RGBA,"(246, 328)",23.58,1711020419.097972
38124992,Бензиновый триммер GGT-1900S, Артикул 38124992 Модель GGT-1900S Гарантийный срок 12 мес Питание Бензиновый Мощность устройства 1900,res/img/38124992.png,PNG,RGBA,"(246, 328)",19.67,1711020427.2077608
212672110,Насадка триммерная садовая - Катушка для триммера, Артикул 212672110 Материал изделия пластик Совместимость универсальная Комплектация Катушка триммерная - 1шт. Страна производства Китай Высота предмета 7 см Ширина предмета 11 см,res/img/212672110.png,PNG,RGBA,"(246, 328)",146.76,1711020435.98911
145821990,"Леска для триммера квадрат 2,4 мм 100 м", Артикул 145821990 Длина (м) 100 м Вес с упаковкой (кг) 0.7 кг Длина упаковки 13 см Высота упаковки 12 см Ширина упаковки 13 см,res/img/145821990.png,PNG,RGBA,"(246, 328)",93.38,1711020445.380964
79099267,"Прочная армированная леска для триммера от 2,4 до 4 мм", Артикул 79099267 Материал изделия износостойкий нейлон Сечение корда звезда; витой квадрат; квадрат Толщина нити 3 мм Комплектация Леска для триммера - 1шт Страна производства Китай Вес с упаковкой (кг) 0.05 кг,res/img/79099267.png,PNG,RGBA,"(246, 328)",176.47,1711020453.792436
58438067,Леска для триммера (оранжевый), Артикул 58438067 Комплектация леска Страна производства Китай Вес с упаковкой (кг) 0.08 кг Длина упаковки 10 см Высота упаковки 10 см Ширина упаковки 10 см,res/img/58438067.png,PNG,RGBA,"(246, 328)",23.12,1711020462.344766
12254594,"Нож для мотокосы BB1054 Premium, 255x25,4x40T, Super Light", Артикул 12254594 Количество предметов в упаковке 1 шт. Материал изделия сталь Посадочный диаметр 25.4 мм Внешний диаметр предмета 25.5 см Комплектация Диск - 1шт Страна производства Китай,res/img/12254594.png,PNG,RGBA,"(246, 328)",111.26,1711020470.820791
150809512,"2 в 1 Ножницы кусторез GET-3,6H аккумуляторный садовый 3.6 В", Артикул 150809512 Модель аккумуляторный кусторез Гарантийный срок 1 год; 12 месяцев Тип аккумулятора Li-Ion; литиевый Емкость аккумулятора 1500 мАч; 1.5 Ач,res/img/150809512.png,PNG,RGBA,"(246, 328)",139.45,1711020479.869879
